OBJECTID,TOWNSHIP,DISTZONE,ZONING,ZONE
649,CINCINNATI,CINCINNATI,RM-2.0,
650,CINCINNATI,CINCINNATI,SF-20,
651,CINCINNATI,CINCINNATI,CC-A,
652,CINCINNATI,CINCINNATI,OL,
653,CINCINNATI,CINCINNATI,PR,
654,CINCINNATI,CINCINNATI,PR,
655,CINCINNATI,CINCINNATI,RM-2.0,
656,CINCINNATI,CINCINNATI,RMX,
657,CINCINNATI,CINCINNATI,OL,
658,CINCINNATI,CINCINNATI,PR,
790,CINCINNATI,CINCINNATI,RMX,
791,CINCINNATI,CINCINNATI,OL,
792,CINCINNATI,CINCINNATI,PR,
793,CINCINNATI,CINCINNATI,RM-2.0,
794,CINCINNATI,CINCINNATI,RM-2.0,
795,CINCINNATI,CINCINNATI,RM-1.2,
796,CINCINNATI,CINCINNATI,SF-4,
797,CINCINNATI,CINCINNATI,CC-M,
798,CINCINNATI,CINCINNATI,CN-P,
799,CINCINNATI,CINCINNATI,CG-A,
914,CINCINNATI,CINCINNATI,SF-4,
915,CINCINNATI,CINCINNATI,ML,
916,CINCINNATI,CINCINNATI,CN-P,
917,CINCINNATI,CINCINNATI,SF-6,
918,CINCINNATI,CINCINNATI,CC-P,
919,CINCINNATI,CINCINNATI,ML,
920,CINCINNATI,CINCINNATI,SF-10,
921,CINCINNATI,CINCINNATI,CN-P,
531,CINCINNATI,CINCINNATI,RM-1.2,
532,CINCINNATI,CINCINNATI,CC-A,
533,CINCINNATI,CINCINNATI,SF-2,
534,CINCINNATI,CINCINNATI,CG-A,
535,CINCINNATI,CINCINNATI,RM-2.0,
659,CINCINNATI,CINCINNATI,RM-0.7,
660,CINCINNATI,CINCINNATI,RM-0.7,
