"cell_id","lat_cell","long_cell","sum_cost","num_events"
750069,39.2042509622004,-84.537011162067,101.124,11
750070,39.2065009642293,-84.5370111620652,30.246,3
750071,39.2087509662574,-84.5370111620634,0.304,1
750073,39.2132509703112,-84.5370111620597,50.41,5
750074,39.2155009723369,-84.5370111620578,20.164,2
760023,39.1007509116333,-84.5392703753664,175.311,22
760024,39.1030009136986,-84.5392703753649,91.841,10
760025,39.1052509157631,-84.5392703753633,111.347,13
760026,39.1075009178268,-84.5392703753617,10.082,1
760030,39.1165009260741,-84.5392703753554,20.164,2
760033,39.1232509322513,-84.5392703753507,442.463,54
760034,39.1255009343089,-84.5392703753491,952.445,116
760035,39.1277509363656,-84.5392703753475,10.082,1
760036,39.1300009384216,-84.539270375346,20.164,2
760037,39.1322509404768,-84.5392703753444,142.251,15
760038,39.1345009425312,-84.5392703753428,183.469,23
760039,39.1367509445849,-84.5392703753412,1676.715,198
760040,39.1390009466378,-84.5392703753396,323.492,37
760041,39.1412509486899,-84.5392703753381,203.351,23
760042,39.1435009507412,-84.5392703753365,167.739,24
760043,39.1457509527917,-84.5392703753349,451.746,55
760044,39.1480009548415,-84.5392703753333,2603.291,307
760045,39.1502509568905,-84.5392703753318,2221.736,281
760046,39.1525009589387,-84.5392703753302,3114.059,360
760047,39.1547509609861,-84.5392703753286,1280.117,152
760048,39.1570009630328,-84.539270375327,773.408,87
760049,39.1592509650786,-84.5392703753254,2257.35,244
760050,39.1615009671237,-84.5392703753239,2159.695,245
760051,39.1637509691681,-84.5392703753223,1776.292,188
760052,39.1660009712116,-84.5392703753207,334.417,36
760053,39.1682509732544,-84.5392703753191,40.328,4
760054,39.1705009752964,-84.5392703753175,10.082,1
760056,39.175000979378,-84.5392703753144,30.246,3
760057,39.1772509814177,-84.5392703753128,20.164,2
760061,39.1862509895686,-84.5392703753065,10.082,1
760062,39.1885009916044,-84.5392703753049,60.796,7
760063,39.1907509936394,-84.5392703753033,30.246,3
760064,39.1930009956736,-84.5392703753018,94.047,12
760065,39.195250997707,-84.5392703753002,162.224,19
760066,39.1975009997397,-84.5392703752986,191.699,20
760067,39.1997510017716,-84.539270375297,91.841,10
760068,39.2020010038027,-84.5392703752954,532.684,65
760069,39.204251005833,-84.5392703752938,161.757,18
760070,39.2065010078626,-84.5392703752922,20.164,2
760072,39.2110010119194,-84.5392703752891,10.082,1
770023,39.1007509116331,-84.5415295885827,60.796,7
770024,39.1030009136984,-84.5415295885814,91.841,10
770025,39.1052509157629,-84.5415295885801,81.9,10
770026,39.1075009178267,-84.5415295885787,10.69,3
770027,39.1097509198896,-84.5415295885774,10.082,1
770029,39.1142509240133,-84.5415295885748,10.082,1
770032,39.1210009301928,-84.5415295885708,10.082,1
770033,39.1232509322512,-84.5415295885695,573.861,66
770034,39.1255009343087,-84.5415295885682,805.351,102
770036,39.1300009384214,-84.5415295885656,10.082,1
770038,39.1345009425311,-84.5415295885629,53.719,8
770039,39.1367509445847,-84.5415295885616,761.905,93
770040,39.1390009466376,-84.5415295885603,207.105,28
770041,39.1412509486897,-84.541529588559,146.168,20
770042,39.143500950741,-84.5415295885576,226.824,28
770043,39.1457509527915,-84.5415295885563,265.037,34
770044,39.1480009548413,-84.541529588555,345.298,37
770045,39.1502509568903,-84.5415295885537,1204.31,142
770046,39.1525009589385,-84.5415295885524,1745.393,203
770047,39.1547509609859,-84.5415295885511,1392.591,168
770048,39.1570009630326,-84.5415295885497,572.567,67
770049,39.1592509650785,-84.5415295885484,687.577,81
770050,39.1615009671236,-84.5415295885471,499.32,57
770051,39.1637509691679,-84.5415295885458,993.36,105
770052,39.1660009712114,-84.5415295885445,653.223,75
770053,39.1682509732542,-84.5415295885432,400.279,50
770054,39.1705009752962,-84.5415295885418,172.638,19
770055,39.1727509773374,-84.5415295885405,171.394,17
770056,39.1750009793779,-84.5415295885392,63.002,9
770057,39.1772509814175,-84.5415295885379,61.899,8
770059,39.1817509854945,-84.5415295885352,145.955,23
770060,39.1840009875318,-84.5415295885339,93.389,13
770061,39.1862509895684,-84.5415295885326,10.223,2
770063,39.1907509936392,-84.54152958853,41.431,5
770065,39.1952509977068,-84.5415295885273,215.144,27
770066,39.1975009997395,-84.541529588526,327.644,38
770067,39.1997510017714,-84.5415295885247,397.914,44
770068,39.2020010038025,-84.5415295885234,501.244,57
770069,39.2042510058329,-84.541529588522,192.166,21
