"cell_id","lat_cell","long_cell","animals_insects","building related","construction","food","others","police property","service complaint","street_sidewalk","traffic_signal","trash","trees_plants","water leak","zoning_parking","n_request"
150017,39.0871684595374,-84.4014584775428,0,0,0,0,0,0,0,0,0,25,2,0,0,27
150037,39.132168473777,-84.4014584774035,0,0,0,0,9,1,0,7,0,23,2,1,0,43
150038,39.1344184744862,-84.4014584773965,0,4,0,0,14,0,0,17,0,0,0,0,0,35
150045,39.1501684794428,-84.4014584773477,0,0,0,0,33,0,0,16,0,73,0,0,0,122
150046,39.1524184801499,-84.4014584773408,0,9,1,0,40,0,1,39,1,50,5,0,0,146
150047,39.1546684808566,-84.4014584773338,1,5,0,0,10,0,0,7,0,20,0,0,0,43
150048,39.1569184815631,-84.4014584773268,0,5,0,0,9,3,0,2,0,12,1,2,0,34
150049,39.1591684822693,-84.4014584773199,0,0,0,0,6,0,0,1,1,0,0,0,0,8
150050,39.1614184829753,-84.4014584773129,0,1,0,0,17,0,0,8,0,11,2,0,0,39
150051,39.1636684836809,-84.4014584773059,0,0,0,0,14,0,0,85,1,3,0,0,0,103
150052,39.1659184843864,-84.4014584772989,0,0,0,0,9,0,0,8,0,0,0,0,0,17
150056,39.1749184872053,-84.4014584772711,0,0,0,0,8,0,0,3,0,1,0,0,0,12
150061,39.186168490723,-84.4014584772362,1,53,0,0,68,1,1,4,0,199,15,0,1,343
160017,39.08717111888,-84.4037176855616,0,0,0,0,1,0,0,2,0,11,0,0,0,14
160028,39.1119211272052,-84.4037176854823,0,0,0,0,0,0,0,1,0,0,0,0,0,1
160033,39.1231711309779,-84.4037176854463,0,0,0,0,2,0,0,2,0,0,0,1,0,5
160035,39.1276711324851,-84.4037176854318,0,0,0,0,0,0,0,2,0,0,0,0,0,2
160036,39.1299211332382,-84.4037176854246,0,0,0,0,2,0,0,3,0,0,0,0,0,5
160037,39.132171133991,-84.4037176854174,0,0,0,0,4,0,0,9,0,5,0,0,0,18
160038,39.1344211347436,-84.4037176854102,0,0,0,0,0,0,0,1,0,0,0,0,0,1
160045,39.1501711400036,-84.4037176853597,0,0,0,0,107,0,0,38,1,2,6,0,0,154
160046,39.1524211407539,-84.4037176853525,0,0,0,0,69,0,0,62,1,1,0,2,1,136
160047,39.1546711415039,-84.4037176853453,0,1,0,4,11,0,0,37,0,0,1,0,0,54
160048,39.1569211422536,-84.4037176853381,2,6,0,0,100,0,0,31,0,12,0,1,1,153
160049,39.159171143003,-84.4037176853309,0,0,0,0,19,0,0,28,0,1,0,2,0,50
160050,39.1614211437521,-84.4037176853237,0,0,1,7,60,0,0,55,1,0,5,0,0,129
160051,39.163671144501,-84.4037176853165,0,0,0,0,56,1,1,61,0,22,1,0,0,142
160052,39.1659211452496,-84.4037176853093,1,0,0,0,9,0,0,29,0,0,0,0,0,39
160053,39.1681711459979,-84.403717685302,0,0,0,0,2,0,0,12,0,0,0,0,0,14
160056,39.1749211482411,-84.4037176852804,0,0,0,0,1,0,0,0,0,0,0,0,0,1
160057,39.1771711489882,-84.4037176852732,0,0,0,0,2,0,0,3,0,2,1,0,0,8
160060,39.183921151228,-84.4037176852515,5,61,0,0,35,1,5,25,0,172,13,0,2,319
160061,39.186171151974,-84.4037176852443,3,98,0,0,79,4,2,10,0,226,26,1,1,450
170008,39.0669237274022,-84.4059768938162,0,0,0,0,0,0,0,0,0,12,0,0,0,12
170017,39.0871737346271,-84.4059768937493,0,2,1,0,8,3,1,3,0,40,1,0,0,59
170018,39.0894237354283,-84.4059768937419,0,0,0,0,9,0,1,1,0,62,0,0,0,73
170029,39.1141737442224,-84.4059768936601,0,0,0,0,1,0,0,0,0,0,0,1,0,2
170035,39.1276737490037,-84.4059768936155,0,4,0,0,1,0,0,3,0,0,0,0,0,8
170036,39.1299237497996,-84.4059768936081,0,9,0,0,3,0,0,3,0,0,0,0,0,15
170037,39.1321737505952,-84.4059768936007,0,0,0,0,2,0,0,5,0,0,0,0,0,7
170038,39.1344237513904,-84.4059768935932,0,0,0,0,0,0,0,10,0,0,0,0,0,10
170039,39.1366737521853,-84.4059768935858,0,0,0,0,1,0,0,0,0,0,0,0,0,1
170040,39.13892375298,-84.4059768935783,0,0,0,0,0,0,0,1,0,1,0,0,0,2
170041,39.1411737537743,-84.4059768935709,0,1,0,0,13,1,1,7,0,72,0,2,1,98
170042,39.1434237545684,-84.4059768935634,0,1,0,0,4,0,0,5,2,24,0,0,0,36
170043,39.1456737553621,-84.405976893556,0,0,0,0,5,0,0,1,0,9,2,0,0,17
170044,39.1479237561556,-84.4059768935486,0,0,0,2,4,0,0,4,0,0,0,0,2,12
170045,39.1501737569487,-84.4059768935412,0,0,0,0,51,1,1,30,0,1,1,3,0,88
170046,39.1524237577415,-84.4059768935337,0,0,0,0,3,0,0,0,0,0,0,0,0,3
170047,39.1546737585341,-84.4059768935263,0,0,0,0,0,0,0,8,0,0,0,0,0,8
170048,39.1569237593263,-84.4059768935189,0,0,0,2,16,0,0,60,0,1,0,0,0,79
170049,39.1591737601183,-84.4059768935114,0,2,0,1,12,0,0,80,0,0,3,6,0,104
170050,39.1614237609099,-84.405976893504,0,0,0,1,3,0,0,1,0,0,0,0,0,5
170051,39.1636737617012,-84.4059768934965,0,0,0,0,3,0,0,1,0,0,0,0,0,4
170052,39.1659237624923,-84.4059768934891,0,0,0,0,2,0,0,7,0,0,0,0,0,9
170056,39.1749237656534,-84.4059768934593,0,0,2,0,26,1,1,17,1,35,9,1,0,93
170057,39.1771737664429,-84.4059768934519,0,0,0,0,2,0,0,0,0,14,0,0,0,16
170059,39.1816737680211,-84.405976893437,1,27,0,0,10,0,4,11,0,70,4,0,2,129
170060,39.1839237688097,-84.4059768934296,0,65,0,0,61,1,6,14,1,194,8,0,3,353
170061,39.1861737695981,-84.4059768934221,4,97,0,0,84,7,8,11,1,341,32,0,1,586
180007,39.0646762983256,-84.4082361021797,0,1,0,0,2,0,0,3,0,18,0,0,0,24
180009,39.0691763000187,-84.4082361021644,0,0,0,0,1,0,0,0,0,4,0,0,0,5
180010,39.0714263008648,-84.4082361021567,0,0,0,0,1,0,0,0,0,2,0,0,0,3
180016,39.0849263059346,-84.4082361021109,0,0,0,0,1,0,0,1,0,5,0,0,0,7
180017,39.0871763067785,-84.4082361021032,1,0,0,0,4,2,0,1,0,36,0,0,0,44
180018,39.089426307622,-84.4082361020956,0,2,0,0,10,0,0,1,0,40,1,0,0,54
180030,39.1164263177199,-84.4082361020039,0,0,0,0,1,0,0,0,0,0,0,0,0,1
180032,39.1209263193985,-84.4082361019886,0,0,0,0,0,0,0,1,0,0,0,0,0,1
180033,39.1231763202373,-84.4082361019809,0,1,0,2,13,0,0,12,0,0,1,0,0,29
180035,39.127676321914,-84.4082361019656,0,21,0,0,16,0,0,15,0,6,0,0,1,59
180036,39.1299263227518,-84.408236101958,0,0,0,0,6,0,0,10,1,0,0,0,0,17
180037,39.1321763235893,-84.4082361019504,0,0,0,0,0,0,0,1,0,0,0,0,0,1
